application_name,application_name_lower,tool_slug,tool_name,alias_source,category,free,website,supported_os
OCS inventory,ocs inventory,ocs_inventory,OCS inventory,Name,RMM,,https://ocsinventory-ng.org/,
Official HeartbeatRM installer (verified via VirusTotal),official heartbeatrm installer (verified via virustotal),heartbeatrm,HeartbeatRM,PEMetadata.Description,RMM,Unknown,https://heartbeatrm.com/,Windows
Onionshare,onionshare,onionshare,Onionshare,Name,RAT,,https://onionshare.org/,
OptiTune,optitune,optitune,OptiTune,Name,RMM,,https://www.bravurasoftware.com/optitune/,
Pandora RC (eHorus),pandora rc (ehorus),pandora_rc_(ehorus),Pandora RC (eHorus),Name,RMM,,https://pandorafms.com/en/remote-control/,
Panorama9,panorama9,panorama9,Panorama9,Name,RMM,,https://panorama9.com/,
Parallels Access,parallels access,parallelsaccess,Parallels Access,Name,RMM,,https://www.parallels.com/,
Parsec,parsec,parsec,Parsec,Name,RAT,true,https://parsec.app/,Windows | Linux | macOS | Android
pcAnywhere,pcanywhere,pcanywhere,pcAnywhere,Name,RAT,,,
PChelpware,pchelpware,pchelpware,PChelpware,Name,RMM,true,https://uvnc.com/downloads/pchelpware/,Windows
Pcnow,pcnow,pcnow,Pcnow,Name,RMM,,,
Pcvisit,pcvisit,pcvisit,Pcvisit,Name,RMM,,https://www.pcvisit.de/,
PDQ Connect,pdq connect,pdq_connect,PDQ Connect,Name,RMM,,https://www.pdq.com/pdq-connect/,
Pilixo,pilixo,pilixo,Pilixo,Name,RMM,,,
Pocket Cloud (Wyse),pocket cloud (wyse),pocket_cloud_(wyse),Pocket Cloud (Wyse),Name,RMM,,,
Pocket Controller,pocket controller,pocket_controller,Pocket Controller,Name,RMM,,https://soti.net/products/soti-pocket-controller,Windows
Pocket Controller (Soti Xsight),pocket controller (soti xsight),pocket_controller_(soti_xsight),Pocket Controller (Soti Xsight),Name,RMM,,https://soti.net/products/soti-xsight/,Windows
PSEXEC,psexec,psexec,PSEXEC,Name,RAT,,https://learn.microsoft.com/en-us/sysinternals/downloads/psexec,
PSEXEC (Clone),psexec (clone),psexec_(clone),PSEXEC (Clone),Name,RAT,,,
Pulseway,pulseway,pulseway,Pulseway,Name,RMM,,https://www.pulseway.com/,
PuTTY,putty,putty,PuTTY,Name,RAT,,https://www.chiark.greenend.org.uk/~sgtatham/putty/,
PuTTY Tray,putty tray,putty_tray,PuTTY Tray,Name,RAT,,https://github.com/FauxFaux/PuTTYTray,
QQ IM-remote assistance,qq im-remote assistance,qq_im-remote_assistance,QQ IM-remote assistance,Name,RMM,,,
Quest KACE Agent (formerly Dell KACE),quest kace agent (formerly dell kace),quest_kace_agent_(formerly_dell_kace),Quest KACE Agent (formerly Dell KACE),Name,RMM,,https://www.quest.com/kace/,
Quick Assist,quick assist,quickassist,Quick Assist,Name,RAT,,https://support.microsoft.com/windows/solve-pc-problems-remotely-using-quick-assist-b077e31a-16f4-2529-1a47-21f6a9040bf3,
RAdmin,radmin,radmin,RAdmin,Name,RMM,,https://www.radmin.com/,Windows
Radmin Server,radmin server,radmin,RAdmin,PEMetadata.Product,RMM,,https://www.radmin.com/,Windows
Radmin Viewer,radmin viewer,radmin,RAdmin,PEMetadata.Product,RMM,,https://www.radmin.com/,Windows
Rapid7,rapid7,rapid7,Rapid7,Name,RMM,,https://docs.rapid7.com/insight-agent/overview/,
RCClient,rcclient,anyviewer,AnyViewer,PEMetadata.OriginalFileName,RMM,up to 10 devices,https://www.anyviewer.com/,Windows
RdClient,rdclient,rdclient,RdClient,Name,RAT,true,https://www.pierschel.com/en/software-blog/28-rdclient-en,Windows
RDCMan,rdcman,rdcman,RDCMan,Name,RAT,true,https://learn.microsoft.com/en-us/sysinternals/downloads/rdcman,Windows
rdp2tcp,rdp2tcp,rdp2tcp,rdp2tcp,Name,RAT,,https://github.com/V-E-O/rdp2tcp,Windows
RDPView,rdpview,rdpview,RDPView,Name,RAT,,,
rdpwrap,rdpwrap,rdpwrap,rdpwrap,Name,RAT,,https://github.com/stascorp/rdpwrap,
RealVNC,realvnc,realvnc,RealVNC,Name,RAT,,https://www.realvnc.com/en/connect/,
Remcos,remcos,remcos,Remcos,Name,RMM,,,
Remmina,remmina,remmina,Remmina,Name,RAT,,https://remmina.org/,
Remmon,remmon,remmon,Remmon,Name,RMM,true,https://github.com/Netzwerkfehler/remmon,Windows | Linux
Remobo,remobo,remobo,Remobo,Name,RMM,,,
Remote Desktop Manager (Devolutions),remote desktop manager (devolutions),remote_desktop_manager_(devolutions),Remote Desktop Manager (Devolutions),Name,RAT,,https://devolutions.net/,
Remote Desktop Plus,remote desktop plus,remote_desktop_plus,Remote Desktop Plus,Name,RAT,,https://www.donkz.nl/,
Remote Manipulator System,remote manipulator system,remote_manipulator_system,Remote Manipulator System,Name,RMM,,https://rmansys.ru/,
Remote Ripple,remote ripple,remoteripple,Remote Ripple,Name,RMM,true,https://remoteripple.com,Windows | Mac | Android | iOS
Remote Utilities,remote utilities,remote_utilities,Remote Utilities,Name,RMM,,https://www.remoteutilities.com/,
Remote.it,remote.it,remote.it,Remote.it,Name,RMM,,https://www.remote.it/,Windows
RemoteCall,remotecall,remotecall,RemoteCall,Name,RMM,,https://www.remotecall.com/,Windows
RemoteDesktopManager,remotedesktopmanager,devolutions_remote_desktop_manager,Devolutions Remote Desktop Manager,PEMetadata.OriginalFileName,RAT,,https://devolutions.net/remote-desktop-manager/,Windows | Linux | Android | Mac | IOS
RemotePass,remotepass,remotepass,RemotePass,Name,RMM,,https://www.remotepass.com/,Windows
RemotePC,remotepc,remotepc,RemotePC,Name,RMM,,https://www.remotepc.com/,Windows
RemoteUtilities,remoteutilities,remoteutilities,RemoteUtilities,Name,RMM,,https://www.remoteutilities.com/,
RemoteView,remoteview,remoteview,RemoteView,Name,RMM,,https://content.rview.com/,
Reported HeartbeatRM executable (unverified - from threat intelligence report),reported heartbeatrm executable (unverified - from threat intelligence report),heartbeatrm,HeartbeatRM,PEMetadata.Description,RMM,Unknown,https://heartbeatrm.com/,Windows
Reported HeartbeatRM updater executable (unverified - from threat intelligence report),reported heartbeatrm updater executable (unverified - from threat intelligence report),heartbeatrm,HeartbeatRM,PEMetadata.Description,RMM,Unknown,https://heartbeatrm.com/,Windows
RES Automation Manager,res automation manager,res_automation_manager,RES Automation Manager,Name,RMM,,https://www.ivanti.com/company/history/res-software,
Rocket Remote Desktop,rocket remote desktop,rocketremotedesktop,Rocket Remote Desktop,Name,RMM,,https://www.rocketsoftware.com/en-us/products/remote-desktop,Windows
Royal Apps,royal apps,royal_apps,Royal Apps,Name,RMM,,https://www.royalapps.com/,Windows
Royal Server,royal server,royal_server,Royal Server,Name,RMM,,https://www.royalapps.com/server/,
Royal TS,royal ts,royal_ts,Royal TS,Name,RMM,,https://www.royalapps.com/ts/,
RPort,rport,rport,RPort,Name,RMM,,https://kb.rport.io/,
RServer3,rserver3,radmin,RAdmin,PEMetadata.OriginalFileName,RMM,,https://www.radmin.com/,Windows
RuDesktop,rudesktop,rudesktop,RuDesktop,Name,RMM,,https://rudesktop.ru/,
RunSmart,runsmart,runsmart,RunSmart,Name,RMM,,https://runsmart.io/,
RustDesk,rustdesk,rustdesk,RustDesk,Name,RMM,Yes,https://rustdesk.com/,Windows | Linux | MacOS
S3 Browser,s3 browser,s3_browser,S3 Browser,Name,RAT,,https://s3browser.com/,
Screan capture,screan capture,anyviewer,AnyViewer,PEMetadata.Description,RMM,up to 10 devices,https://www.anyviewer.com/,Windows
ScreenConnect,screenconnect,screenconnect,ScreenConnect,Name,RMM,14-Days Free Trial,https://www.connectwise.com,Android | IOS | Linux | Mac | Windows
ScreenMeet,screenmeet,screenmeet,ScreenMeet,Name,RMM,,https://www.screenmeet.com/,
SecureCRT,securecrt,securecrt,SecureCRT,Name,RAT,,https://www.vandyke.com/products/securecrt/,
Seetrol,seetrol,seetrol,Seetrol,Name,RMM,,https://www.seetrol.co.kr/,
Senso.cloud,senso.cloud,senso.cloud,Senso.cloud,Name,RMM,,https://senso.cloud/,
ServerEye,servereye,servereye,ServerEye,Name,RMM,,https://www.servereye.de/,
ShowMyPC,showmypc,showmypc,ShowMyPC,Name,RMM,,https://showmypc.com/,
SimpleHelp,simplehelp,simplehelp,SimpleHelp,Name,RMM,,https://simple-help.com/,
SimpleHelp,simplehelp,updatesimplehelp,SimpleHelp,Name,RMM,,https://simple-help.com/,windows
Site24x7,site24x7,site24x7,Site24x7,Name,RMM,,https://www.site24x7.com/,
SkyFex,skyfex,skyfex,SkyFex,Name,RMM,,https://deskroll.com/,
SmartCode Web VNC,smartcode web vnc,smartcode_web_vnc,SmartCode Web VNC,Name,RAT,,https://www.s-code.com/products/viewerx/webvnc.aspx,
SmartFTP,smartftp,smartftp,SmartFTP,Name,RAT,,https://www.smartftp.com/,
SmarTTY,smartty,smartty,SmarTTY,Name,RAT,,https://sysprogs.com/SmarTTY/,
Solar-PuTTY,solar-putty,solar-putty,Solar-PuTTY,Name,RAT,,https://www.solarwinds.com/free-tools/solar-putty,
Sophos-Remote Management System,sophos-remote management system,sophos-remote_management_system,Sophos-Remote Management System,Name,RMM,,,
Sorillus,sorillus,sorillus,Sorillus,Name,RMM,,,
Splash Window,splash window,anyviewer,AnyViewer,PEMetadata.Description,RMM,up to 10 devices,https://www.anyviewer.com/,Windows
Splashtop,splashtop,splashtop,Splashtop,Name,RMM,,https://www.splashtop.com/,
Splashtop (Beta),splashtop (beta),splashtopbeta,Splashtop (Beta),Name,RMM,,https://www.splashtop.com/,
Splashtop Remote,splashtop remote,splashtop_remote,Splashtop Remote,Name,RMM,,https://www.splashtop.com/,
SpyAnywhere,spyanywhere,spyanywhere,SpyAnywhere,Name,RMM,,https://www.spytech-web.com/,
SunLogin,sunlogin,sunlogin,SunLogin,Name,RMM,,https://sunlogin.oray.com/,
SuperOps,superops,superops,SuperOps,Name,RMM,,https://superops.com/,
SuperPuTTY,superputty,superputty,SuperPuTTY,Name,RAT,,https://github.com/jimradford/superputty,
Supremo,supremo,supremo,Supremo,Name,RMM,,https://www.supremocontrol.com/,Windows | Linux | MacOS
Syncro,syncro,syncro,Syncro,Name,RMM,,https://syncromsp.com/,
Syncthing,syncthing,syncthing,Syncthing,Name,RAT,,https://syncthing.net/,Windows
Synergy,synergy,synergy,Synergy,Name,RAT,,https://symless.com/synergy,
SysAid,sysaid,sysaid,SysAid,Name,RMM,,https://www.sysaid.com/,
Syspectr,syspectr,syspectr,Syspectr,Name,RMM,,https://www.syspectr.com/,
Tactical RMM,tactical rmm,tactical_rmm,Tactical RMM,Name,RMM,,https://docs.tacticalrmm.com/,
Tailscale,tailscale,tailscale,Tailscale,Name,RAT,,https://tailscale.com/,
Tanium,tanium,tanium,Tanium,Name,RMM,,https://www.tanium.com/,
Tanium Deploy,tanium deploy,taniumdeploy,Tanium Deploy,Name,RMM,,https://www.tanium.com/products/tanium-deploy/,
TeamViewer,teamviewer,teamviewer,TeamViewer,Name,RMM,true,https://www.teamviewer.com/en,Android | ChromeOS | IOS | Linux | Mac | Windows
TeleDesktop,teledesktop,teledesktop,TeleDesktop,Name,RMM,,,
Terminals,terminals,terminals,Terminals,Name,RAT,,https://github.com/Terminals-Origin/Terminals,
TigerVNC,tigervnc,tigervnc,TigerVNC,Name,RAT,,https://tigervnc.org/,
TightVNC,tightvnc,tightvnc,TightVNC,Name,RAT,,https://www.tightvnc.com/,
tmate,tmate,tmate,tmate,Name,RAT,Open Source,https://tmate.io/,Linux | Mac | FreeBSD
tmate terminal sharing binary,tmate terminal sharing binary,tmate,tmate,PEMetadata.Description,RAT,Open Source,https://tmate.io/,Linux | Mac | FreeBSD
ToDesk,todesk,todesk,ToDesk,Name,RMM,,https://www.todesk.com/,
Total Software Deployment,total software deployment,total_software_deployment,Total Software Deployment,Name,RMM,,https://www.total-software-deployment.com/,
TurboMeeting,turbomeeting,turbomeeting,TurboMeeting,Name,RMM,,,
Ultra VNC,ultra vnc,ultra_vnc,Ultra VNC,Name,RAT,,https://uvnc.com/,
UltraViewer,ultraviewer,ultraviewer,UltraViewer,Name,RMM,,https://www.ultraviewer.net/,
UltraVNC,ultravnc,ultravnc,UltraVNC,Name,RAT,,https://uvnc.com/,
Veyon,veyon,veyon,Veyon,Name,RAT,true,https://veyon.io,Linux | Windows
Visual Studio Dev Tunnel,visual studio dev tunnel,visual_studio_dev_tunnel,Visual Studio Dev Tunnel,Name,RAT,,https://learn.microsoft.com/azure/developer/dev-tunnels/,
VNC,vnc,vnc,VNC,Name,RAT,,,
VNC Connect,vnc connect,vnc_connect,VNC Connect,Name,RAT,,https://www.realvnc.com/en/connect/,
WebEx (Remote Access),webex (remote access),webex_(remote_access),WebEx (Remote Access),Name,RMM,,https://www.webex.com/,
WebRDP,webrdp,webrdp,WebRDP,Name,RAT,,https://github.com/Mikej81/WebRDP,
Weezo,weezo,weezo,Weezo,Name,RMM,,,
WinSCP,winscp,winscp,WinSCP,Name,RAT,,https://winscp.net/,
X2Go,x2go,x2go,X2Go,Name,RAT,,https://wiki.x2go.org/,
Xeox,xeox,xeox,Xeox,Name,RMM,,https://xeox.com/,Windows
Xpra,xpra,xpra,Xpra,Name,RAT,,https://github.com/Xpra-org/xpra/,Windows
XRDP,xrdp,xrdp,XRDP,Name,RAT,,https://www.xrdp.org/,
Xshell,xshell,xshell,Xshell,Name,RAT,,https://www.xshell.com/en/xshell/,
Yandex.Disk,yandex.disk,yandex.disk,Yandex.Disk,Name,RAT,,https://disk.yandex.com/,
Zabbix Agent,zabbix agent,zabbix_agent,Zabbix Agent,Name,RMM,,https://www.zabbix.com/,
ZeroTier,zerotier,zerotier,ZeroTier,Name,RAT,,https://www.zerotier.com/,
ZOC,zoc,zoc,ZOC,Name,RAT,,https://www.emtec.com/zoc/index.html,
Zoho Assist,zoho assist,zohoassist,Zoho Assist,Name,RMM,,https://www.zoho.com/assist/,Windows
