application_name,application_name_lower,tool_slug,tool_name,alias_source,category,free,website,supported_os
CruzControl,cruzcontrol,cruzcontrol,CruzControl,Name,RMM,,https://www.doradosoftware.com/products/cruzcontrol/,
DameWare,dameware,dameware,DameWare,Name,RMM,,https://www.solarwinds.com/dameware/,
DeskDay,deskday,deskday,DeskDay,Name,RMM,,https://deskday.com/,Windows
DeskNets,desknets,desknets,DeskNets,Name,RMM,,https://www.desknets.com/,
DeskShare,deskshare,deskshare,DeskShare,Name,RMM,,https://deskshare.com/,
DesktopNow,desktopnow,desktopnow,DesktopNow,Name,RMM,,https://www.nchsoftware.com/remotedesktop/index.html,
Dev Tunnels (aka Visual Studio Dev Tunnel),dev tunnels (aka visual studio dev tunnel),dev_tunnels_(aka_visual_studio_dev_tunnel),Dev Tunnels (aka Visual Studio Dev Tunnel),Name,RAT,,https://learn.microsoft.com/azure/developer/dev-tunnels/,
Devolutions Remote Desktop Manager,devolutions remote desktop manager,devolutions_remote_desktop_manager,Devolutions Remote Desktop Manager,Name,RAT,,https://devolutions.net/remote-desktop-manager/,Windows | Linux | Android | Mac | IOS
Distant Desktop,distant desktop,distant_desktop,Distant Desktop,Name,RMM,,https://www.distantdesktop.com/,
Domotz,domotz,domotz,Domotz,Name,RMM,,https://www.domotz.com/,
DragonDisk,dragondisk,dragondisk,DragonDisk,Name,RAT,,,Windows
Duet Display,duet display,duet_display,Duet Display,Name,RAT,Trial Available,https://www.duetdisplay.com/remote-desktop-access-software,Windows | Mac | iOS | Android
Duet Display executable (observed in threat intelligence),duet display executable (observed in threat intelligence),duet_display,Duet Display,PEMetadata.Description,RAT,Trial Available,https://www.duetdisplay.com/remote-desktop-access-software,Windows | Mac | iOS | Android
Duet Display installer (verified via VirusTotal),duet display installer (verified via virustotal),duet_display,Duet Display,PEMetadata.Description,RAT,Trial Available,https://www.duetdisplay.com/remote-desktop-access-software,Windows | Mac | iOS | Android
DuetDisp,duetdisp,duet_display,Duet Display,PEMetadata.OriginalFileName,RAT,Trial Available,https://www.duetdisplay.com/remote-desktop-access-software,Windows | Mac | iOS | Android
Duplicati,duplicati,duplicati,Duplicati,Name,RAT,,https://duplicati.com/,Windows
DW Service,dw service,dw_service,DW Service,Name,RMM,,https://www.dwservice.net/,Windows
Echoware,echoware,echoware,Echoware,Name,RMM,,,
eHorus,ehorus,ehorus,eHorus,Name,RMM,,https://ehorus.com,Windows | Linux | Mac
Electric AI (Kaseya),electric ai (kaseya),electric_ai_(kaseya),Electric AI (Kaseya),Name,RMM,,https://www.electric.ai/,
EMCO Remote Console,emco remote console,emco_remote_console,EMCO Remote Console,Name,RMM,,https://emcosoftware.com/,
Encapto,encapto,encapto,Encapto,Name,RMM,,https://www.encapto.com/,
Endpoint Agent,endpoint agent,action1,Action1,PEMetadata.Description,RMM,Yes,https://www.action1.com/,Windows
Ericom AccessNow,ericom accessnow,ericom_accessnow,Ericom AccessNow,Name,RMM,,https://www.ericom.com/connect-accessnow/,
Ericom Connect,ericom connect,ericom_connect,Ericom Connect,Name,RMM,,https://www.ericom.com/connect-accessnow/,
ESET Remote Administrator,eset remote administrator,eset_remote_administrator,ESET Remote Administrator,Name,RMM,,https://www.eset.com/me/business/remote-management/remote-administrator/,
ExtraPuTTY,extraputty,extraputty,ExtraPuTTY,Name,RAT,,https://sourceforge.net/projects/extraputty/,Windows
ezHelp,ezhelp,ezhelp,ezHelp,Name,RMM,,https://ezhelp.co.kr/,
FastViewer,fastviewer,fastviewer,FastViewer,Name,RMM,,https://www.matrix42.com/en/fastviewer,
FixMe.it,fixme.it,fixme,FixMe.it,Name,RMM,,https://fixme.it/,Windows
FleetDeck agent DLL component (reported in GitHub issue),fleetdeck agent dll component (reported in github issue),fleetdeck,FleetDeck.io,PEMetadata.Description,RMM,Trial and Paid,https://fleetdeck.io/,Windows
FleetDeck agent installer (verified via official documentation),fleetdeck agent installer (verified via official documentation),fleetdeck,FleetDeck.io,PEMetadata.Description,RMM,Trial and Paid,https://fleetdeck.io/,Windows
FleetDeck agent service executable (verified via official documentation),fleetdeck agent service executable (verified via official documentation),fleetdeck,FleetDeck.io,PEMetadata.Description,RMM,Trial and Paid,https://fleetdeck.io/,Windows
FleetDeck MSI installer (verified via official documentation),fleetdeck msi installer (verified via official documentation),fleetdeck,FleetDeck.io,PEMetadata.Description,RMM,Trial and Paid,https://fleetdeck.io/,Windows
FleetDeck.io,fleetdeck.io,fleetdeck,FleetDeck.io,Name,RMM,Trial and Paid,https://fleetdeck.io/,Windows
fleetdeck_installer,fleetdeck_installer,fleetdeck,FleetDeck.io,PEMetadata.OriginalFileName,RMM,Trial and Paid,https://fleetdeck.io/,Windows
Fortra,fortra,fortra,Fortra,Name,RMM,,https://power.fortra.com/solutions/monitoring/remote-management-msps,
Free Ping Tool,free ping tool,free_ping_tool,Free Ping Tool,Name,RAT,,,
Free Tools Launcher,free tools launcher,free_tools_launcher,Free Tools Launcher,Name,RMM,,https://www.manageengine.com/free-tools.html,
FreeNX,freenx,freenx,FreeNX,Name,RAT,,,Windows
FreeRDP,freerdp,freerdp,FreeRDP,Name,RAT,,https://www.freerdp.com/,
GatherPlace-desktop sharing,gatherplace-desktop sharing,gatherplace-desktop_sharing,GatherPlace-desktop sharing,Name,RMM,,https://web.archive.org/web/20241106023713/https://www.gatherplace.com/,
GetScreen,getscreen,getscreen,GetScreen,Name,RMM,,https://getscreen.me/,Windows
Gorelo RMM,gorelo rmm,gorelormm,Gorelo RMM,Name,RMM,false,https://www.gorelo.io/remote-management/,Windows | Mac
Gorelo.Rmm.Setup,gorelo.rmm.setup,gorelormm,Gorelo RMM,PEMetadata.OriginalFileName,RMM,false,https://www.gorelo.io/remote-management/,Windows | Mac
GoTo Opener,goto opener,goto_opener,GoTo Opener,Name,RMM,,https://support.goto.com/meeting/help/about-the-goto-opener,
GoToAssist,gotoassist,gotoassist,GoToAssist,Name,RMM,,https://start.gotoassist.com/,Windows
GoToAssist (GoTo Resolve),gotoassist (goto resolve),gotoassist_(goto_resolve),GoToAssist (GoTo Resolve),Name,RMM,false,https://www.logmein.com/products/resolve,Android | Windows | Mac
GoToAssist Agent Desktop Console,gotoassist agent desktop console,gotoassist_agent_desktop_console,GoToAssist Agent Desktop Console,Name,RMM,,https://console.gotoassist.com/,
GotoHTTP,gotohttp,gotohttp,GotoHTTP,Name,RMM,,https://gotohttp.com/,
GoToMyPC,gotomypc,gotomypc,GoToMyPC,Name,RMM,,https://get.gotomypc.com/,
Goverlan,goverlan,goverlan,Goverlan,Name,RMM,,,Windows
Guacamole,guacamole,guacamole,Guacamole,Name,RAT,,https://guacamole.apache.org/,
HeartbeatRM,heartbeatrm,heartbeatrm,HeartbeatRM,Name,RMM,Unknown,https://heartbeatrm.com/,Windows
HelpBeam,helpbeam,helpbeam,HelpBeam,Name,RMM,,https://web.archive.org/web/20141223111635/http://www.helpbeam.com/,
HelpU,helpu,helpu,HelpU,Name,RMM,,https://helpu.co.kr/,
HopToDesk,hoptodesk,hoptodesk,HopToDesk,Name,RMM,Open Source,https://www.hoptodesk.com/,Windows | Mac | Linux | Android
HopToDesk remote desktop application (verified via VirusTotal),hoptodesk remote desktop application (verified via virustotal),hoptodesk,HopToDesk,PEMetadata.Description,RMM,Open Source,https://www.hoptodesk.com/,Windows | Mac | Linux | Android
I'm InTouch,i'm intouch,i'm_intouch,I'm InTouch,Name,RMM,,https://locator.01com.com/,
iDrive,idrive,idrive,iDrive,Name,RAT,false,https://www.idrive.com/,Windows | macOS | Linux | Android | iOS
iDrive Classic client executable,idrive classic client executable,idrive,iDrive,PEMetadata.Description,RAT,false,https://www.idrive.com/,Windows | macOS | Linux | Android | iOS
iDrive component library,idrive component library,idrive,iDrive,PEMetadata.Description,RAT,false,https://www.idrive.com/,Windows | macOS | Linux | Android | iOS
iDrive system tray application,idrive system tray application,idrive,iDrive,PEMetadata.Description,RAT,false,https://www.idrive.com/,Windows | macOS | Linux | Android | iOS
iDrive Windows installer executable (observed in phishing campaigns),idrive windows installer executable (observed in phishing campaigns),idrive,iDrive,PEMetadata.Description,RAT,false,https://www.idrive.com/,Windows | macOS | Linux | Android | iOS
