slug,name,url,description
anydesk,AnyDesk,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/anydesk_network_sigma.yml,Detects potential network activity of AnyDesk RMM tool
anydesk,AnyDesk,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/anydesk_files_sigma.yml,Detects potential files activity of AnyDesk RMM tool
anyplace_control,Anyplace Control,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/anyplace_control_network_sigma.yml,Detects potential network activity of Anyplace Control RMM tool
anyplace_control,Anyplace Control,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/anyplace_control_processes_sigma.yml,Detects potential processes activity of Anyplace Control RMM tool
anyviewer,AnyViewer,https://github.com/tsale/Sigma_rules/blob/main/Threat%20Hunting%20Queries/Anyviewer.yml,Threat hunting rule for detecting the execution of arbitrary code and remote sessions via Action1 RMM
anyviewer,AnyViewer,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/anyviewer_network_sigma.yml,Detects potential network activity of AnyViewer RMM tool
apple_remote_desktop,Apple Remote Desktop,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/apple_remote_desktop_network_sigma.yml,Detects potential network activity of Apple Remote Desktop RMM tool
aspia,Aspia,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/aspia_network_sigma.yml,Detects potential network activity of Aspia RMM tool
aspia,Aspia,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/aspia_files_sigma.yml,Detects potential files activity of Aspia RMM tool
aspia,Aspia,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/aspia_processes_sigma.yml,Detects potential processes activity of Aspia RMM tool
atera,Atera,https://github.com/The-DFIR-Report/Sigma-Rules/blob/d67407d357ad32b247e2a303abc5a38bb30fd576/rules/windows/process_creation/proc_creation_win_ateraagent_malicious_installations.yml,Detects AteraAgent installations with suspicious command line arguments.
atera,Atera,https://github.com/SigmaHQ/sigma/blob/782f0f524e6f797ea114fe0d87b22cb4abaa6b7c/rules/windows/builtin/application/msiinstaller/win_software_atera_rmm_agent_install.yml,Detects Atera Agent installation.
atera,Atera,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/atera_registry_sigma.yml,Detects potential registry activity of Atera RMM tool
atera,Atera,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/atera_network_sigma.yml,Detects potential network activity of Atera RMM tool
atera,Atera,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/atera_files_sigma.yml,Detects potential files activity of Atera RMM tool
atera,Atera,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/atera_processes_sigma.yml,Detects potential processes activity of Atera RMM tool
auvik,Auvik,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/auvik_network_sigma.yml,Detects potential network activity of Auvik RMM tool
auvik,Auvik,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/auvik_processes_sigma.yml,Detects potential processes activity of Auvik RMM tool
aweray,AweRay,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/aweray_network_sigma.yml,Detects potential network activity of AweRay RMM tool
aweray,AweRay,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/aweray_processes_sigma.yml,Detects potential processes activity of AweRay RMM tool
baramundi,baramundi Management Suite,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/baramundi_registry_sigma.yml,Detects potential registry activity of baramundi Management Suite RMM tool
baramundi,baramundi Management Suite,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/baramundi_network_sigma.yml,Detects potential network activity of baramundi Management Suite RMM tool
baramundi,baramundi Management Suite,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/baramundi_files_sigma.yml,Detects potential file activity of baramundi Management Suite RMM tool
barracuda,Barracuda,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/barracuda_network_sigma.yml,Detects potential network activity of Barracuda RMM tool
basecamp,Basecamp,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/basecamp_network_sigma.yml,Detects potential network activity of Basecamp RMM tool
beamyourscreen,BeamYourScreen,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/beamyourscreen_network_sigma.yml,Detects potential network activity of BeamYourScreen RMM tool
beamyourscreen,BeamYourScreen,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/beamyourscreen_processes_sigma.yml,Detects potential processes activity of BeamYourScreen RMM tool
beanywhere,BeAnyWhere,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/beanywhere_network_sigma.yml,Detects potential network activity of BeAnyWhere RMM tool
beanywhere,BeAnyWhere,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/beanywhere_processes_sigma.yml,Detects potential processes activity of BeAnyWhere RMM tool
beinsync,BeInSync,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/beinsync_network_sigma.yml,Detects potential network activity of BeInSync RMM tool
beinsync,BeInSync,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/beinsync_processes_sigma.yml,Detects potential processes activity of BeInSync RMM tool
beyondtrust_(bomgar),BeyondTrust (Bomgar),https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/beyondtrust__bomgar__network_sigma.yml,Detects potential network activity of BeyondTrust (Bomgar) RMM tool
beyondtrust_(bomgar),BeyondTrust (Bomgar),https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/beyondtrust__bomgar__processes_sigma.yml,Detects potential processes activity of BeyondTrust (Bomgar) RMM tool
bitvise_ssh_client,Bitvise SSH Client,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/bitvise_ssh_client_processes_sigma.yml,Detects potential processes activity of Bitvise SSH Client RMM tool
bitvise_ssh_server,Bitvise SSH Server,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/bitvise_ssh_server_processes_sigma.yml,Detects potential processes activity of Bitvise SSH Server RMM tool
bluetrait,Bluetrait,,Detects execution of Bluetrait agent executable by monitoring process creation events
bluetrait,Bluetrait,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/bluetrait_network_sigma.yml,Detects potential network activity of Bluetrait RMM tool
bluetrait,Bluetrait,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/bluetrait_files_sigma.yml,Detects potential files activity of Bluetrait RMM tool
centrastage_(now_datto),CentraStage (Now Datto),https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/centrastage__now_datto__network_sigma.yml,Detects potential network activity of CentraStage (Now Datto) RMM tool
centrastage_(now_datto),CentraStage (Now Datto),https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/centrastage__now_datto__processes_sigma.yml,Detects potential processes activity of CentraStage (Now Datto) RMM tool
centurion,Centurion,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/centurion_network_sigma.yml,Detects potential network activity of Centurion RMM tool
centurion,Centurion,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/centurion_processes_sigma.yml,Detects potential processes activity of Centurion RMM tool
chrome_remote_desktop,Chrome Remote Desktop,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/chrome_remote_desktop_network_sigma.yml,Detects potential network activity of Chrome Remote Desktop RMM tool
chrome_remote_desktop,Chrome Remote Desktop,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/chrome_remote_desktop_processes_sigma.yml,Detects potential processes activity of Chrome Remote Desktop RMM tool
cloudflare_tunnel,CloudFlare Tunnel,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/cloudflare_tunnel_network_sigma.yml,Detects potential network activity of CloudFlare Tunnel RMM tool
cloudflare_tunnel,CloudFlare Tunnel,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/cloudflare_tunnel_processes_sigma.yml,Detects potential processes activity of CloudFlare Tunnel RMM tool
comodo_rmm,Comodo RMM,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/comodo_rmm_network_sigma.yml,Detects potential network activity of Comodo RMM RMM tool
comodo_rmm,Comodo RMM,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/comodo_rmm_processes_sigma.yml,Detects potential processes activity of Comodo RMM RMM tool
connectwise_automate_(labtech),Connectwise Automate (LabTech),https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/connectwise_automate__labtech__network_sigma.yml,Detects potential network activity of Connectwise Automate (LabTech) RMM tool
connectwise_automate_(labtech),Connectwise Automate (LabTech),https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/connectwise_automate__labtech__processes_sigma.yml,Detects potential processes activity of Connectwise Automate (LabTech) RMM tool
connectwise_control,ConnectWise Control,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/connectwise_control_network_sigma.yml,Detects potential network activity of ConnectWise Control RMM tool
connectwise_control,ConnectWise Control,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/connectwise_control_processes_sigma.yml,Detects potential processes activity of ConnectWise Control RMM tool
crossloop,CrossLoop,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/crossloop_network_sigma.yml,Detects potential network activity of CrossLoop RMM tool
crossloop,CrossLoop,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/crossloop_processes_sigma.yml,Detects potential processes activity of CrossLoop RMM tool
crosstec_remote_control,CrossTec Remote Control,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/crosstec_remote_control_network_sigma.yml,Detects potential network activity of CrossTec Remote Control RMM tool
crosstec_remote_control,CrossTec Remote Control,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/crosstec_remote_control_processes_sigma.yml,Detects potential processes activity of CrossTec Remote Control RMM tool
dameware,DameWare,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/dameware_network_sigma.yml,Detects potential network activity of DameWare RMM tool
dameware,DameWare,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/dameware_processes_sigma.yml,Detects potential processes activity of DameWare RMM tool
deskday,DeskDay,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/deskday_network_sigma.yml,Detects potential network activity of DeskDay RMM tool
deskday,DeskDay,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/deskday_processes_sigma.yml,Detects potential processes activity of DeskDay RMM tool
deskshare,DeskShare,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/deskshare_network_sigma.yml,Detects potential network activity of DeskShare RMM tool
deskshare,DeskShare,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/deskshare_processes_sigma.yml,Detects potential processes activity of DeskShare RMM tool
desktopnow,DesktopNow,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/desktopnow_network_sigma.yml,Detects potential network activity of DesktopNow RMM tool
desktopnow,DesktopNow,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/desktopnow_processes_sigma.yml,Detects potential processes activity of DesktopNow RMM tool
dev_tunnels_(aka_visual_studio_dev_tunnel),Dev Tunnels (aka Visual Studio Dev Tunnel),https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/dev_tunnels__aka_visual_studio_dev_tunnel__network_sigma.yml,Detects potential network activity of Dev Tunnels (aka Visual Studio Dev Tunnel) RMM tool
devolutions_remote_desktop_manager,Devolutions Remote Desktop Manager,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/devolutions_remote_desktop_manager_files_sigma.yml,Detects potential files activity of Devolutions Remote Desktop Manager RMM tool
devolutions_remote_desktop_manager,Devolutions Remote Desktop Manager,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/devolutions_remote_desktop_manager_processes_sigma.yml,Detects potential processes activity of Devolutions Remote Desktop Manager RMM tool
distant_desktop,Distant Desktop,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/distant_desktop_network_sigma.yml,Detects potential network activity of Distant Desktop RMM tool
